biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 507a32 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 70 ffffff 80b497 60a17b
biome 71 ffffff b2b952 9fa726
biome 72 ffffff 88b977 6aa755
biome 73 ffffff 59c93c 30bb0b
biome 74 ffffff 61c64b 3bb61e
biome 75 ffffff 88b977 6aa755
biome 76 ffffff 80b497 60a17b
biome 77 ffffff 79c05a 59ae30
biome 78 ffffff 73c158 50b02f
biome 79 ffffff 80b497 60a17b
biome 81 ffffff 47cd33 1abf00
biome 82 24b01c 59c93c 30bb0b
biome 83 ffffff bfb755 aea42a
biome 84 ffffff bfb755 aea42a
biome 85 ffffff 80b497 60a17b
biome 86 ffffff 8ab978 6da655
biome 87 ffffff 47cd33 1abf00
biome 88 ffffff 47cd33 1abf00
biome 89 ffffff 47cd33 1abf00
biome 90 ffffff bfb755 aea42a
biome 91 ffffff 8ab978 6da655
biome 92 ffffff 80b497 60a17b
biome 93 ffffff 80b497 60a17b
biome 94 ffffff 7abe62 59ad3b
biome 95 ffffff 80b497 60a17b
biome 96 f08000 bfb755 aea42a
biome 97 ffffff 47cd33 1abf00
biome 102 ffffff a0b676 87a353
biome 103 ffffff a0b676 87a353
biome 105 ffffff a0b676 87a353
biome 110 ffffff c6ff54 c6ff54
biome 111 ffffff 74bf26 74bf26
biome 112 ffffff 4e8833 4e8833
biome 113 5c5835 314d31 314d31
biome 114 ffffff b6b957 a3a52d
biome 115 ffffff c1b668 c1b668
biome 116 ffffff 53ca37 29bc05
biome 117 ffffff a6bb4e 91a922
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
biome 131 ffffff 8ab689 6da36b
biome 132 ffffff 79c05a 59ae30
biome 133 ffffff 86b783 68a464
biome 134 e0ffae 6a7039 6a7039
biome 140 ffffff 80b497 60a17b
biome 149 ffffff 59c93c 30bb0b
biome 151 ffffff 64c73f 3eb80f
biome 155 ffffff 88bb66 6ba940
biome 156 ffffff 88bb66 6ba940
biome 157 ffffff 507a32 59ae30
biome 158 ffffff 80b497 60a17b
biome 160 ffffff 86b783 68a464
biome 161 ffffff 86b783 68a464
biome 162 ffffff 8ab689 6da36b
biome 163 ffffff bfb755 aea42a
biome 164 ffffff bfb755 aea42a
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
biome 168 ffffff bfb755 aea42a
biome 169 ffffff 8eb971 71a74d
biome 190 ffffff 91bd59 77ab2f
biome 191 ffffff 4b6754 3b5e3f
biome 192 ffffff 554114 e94e14
biome 193 ffffff 61c64b 3bb61e
biome 194 ffffff 8eb93f 71a73f
biome 195 6c2c2c 572e23 64260f
